	Industry-wide Uses of Chlorine by Industry................................................................. 2-7 2-2. Use of Caustic Soda by Industry................................................................................... 2-7 2-3. Use of Caustic Potash by Industry ................................................................................ 2-8 2-4. Income (or Loss) as Net a Percentage of Sales, Basic Chemicals, Resins, and Synthetics (NAICS 3251 and 3252): 2000–2005 ....................................................... 2-14 3-1. Capital Cost Factor ($/ton Cl2 produced) vs. Capacity ................................................ 3-5 4-1. Price Trends: Alkalis and Chlorine Manufacturing:	Oxychem Completes Taft,	Chlorine: Ensuring Rail Transportation Safety.”	Potassium Carbonate Handbook.” http://www.armandproducts.com/pdfs/k2so3P1_12.pdf. Accessed	ASHTA Chemicals Inc. 2009a. About ASHTA. http://www.ashtachemicals.com/aboutfs.htm.	Inc. 2009b. Potassium Hydroxide,	Investment under Uncertainty.	Energy Information Administration.	Potassium Hydroxide.” http://www.ercoworldwide.com/ products_potassiumhydroxide.asp. Accessed	Distributional Effects of Environmental and Energy Policy: An Introduction.	Potassium Carbonate Faces Pressures from the Video Glass.” Chemical Market Reporter,	Site Fact Sheet Ashtabula Complex.” http://www.millenniumchem.com/NR/rdonlyres/6AE8BF59-D7CD-4768-951F37AE6F1C7321/0/SiteFactSheetAshtabula.pdf. Accessed	Occidental Chemical Corporation. 2008a. “OxyChem Caustic Potash Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Pages/chem_products_basic_alkali.aspx #alk_koh. Accessed	Occidental Chemical Corporation. 2008b. “OxyChem Caustic Soda Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Documents/caustic_soda/caustic.pdf.	Form 10-K405. Filed	Form 10-K. Filed	BB&T Capital Markets Presentation Manufacturing and Materials Conference.” http://www.olin.com/. Accessed	Bill Would End Mercury Use at Chlorine Plants.” http://chronicle.augusta.com/stories/031308/met_190792.shtml. Accessed	Accessed	Chlorine Product Bulletin.” http://corporateportal.ppg.com/NA/Chemicals/CAD/ProductInformation/Bull /English/EN. Accessed	PPG Reaches Agreement with State of Maryland.” PPG News Release. http://corporateportal.ppg.com/PPG/Newsroom/News/20090811.htm.	The Effects of Environmental Regulation on Technology Diffusion: The Case of	Special Focus on Chlorine.”	The Innovation Group (TIG).	of Labor Statistics.	of Labor Statistics. 2009b. LAU Local Area Unemployment Statistics Series Id:	4-13 U.S. Bureau of Labor Statistics.	Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Quarter reports. http://www.census.gov/prod/www/abs/qfrmm.html. Accessed	Economic Census.	http://factfinder.census.gov/servlet/DatasetMainPageServlet?_program=ECN&_tabId=E CN1&_submenuId=datasets_4&_lang=en&_ts=24636668839. Accessed	Bureau; generated by RTI International; using American FactFinder; “Sector 31: Manufacturing: Industry Series: Industry Statistics by Employment Size:	Department of Transportation.	Environmental Protection Agency (EPA).	Federal Trade Commission (FTC).	Soda Ash. http://minerals.usgs.gov/minerals/pubs/ commodity/soda_ash/mcs-2009-sodaa.pdf. Accessed August 4,	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Environmental Protection Agency—Science Advisory Board (U.S.	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Environmental Protection Agency. RE: Docket No. EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants:	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act.	EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants: Mercury Emissions from Mercury Cell Chlor-Alkali Plants—Memo: “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell Chlor-Alkali Technology to Membrane Cell Technology,” from	B-4 Table B-3. Power Company Emission Factors: Fuel=Coal (Short tons per kWh)	Available on the internet at http://www.epa.gov/CAIR/pdfs/finaltech01.pdf U.S. Environmental Protection Agency	Available on the internet at http://www.epa.gov/cleanenergy/documents/egridzips/eGRID2007TechnicalSupportDoc ument.pdf U.S. Environmental Protection Agency
ASHTA to Build ChlorineKOH Plant in Arkansas	0.5700000000000001	0.73	0.6	0.71	0.6599999999999999	0.76	0.65	0.64	0.71	0.64	0.69	0.69	0.6599999999999999	0.69	0.71	0.65	0.64	0.5	0.63	0.6599999999999999	0.6599999999999999	0.64	0.54	0.63	0.69	0.6599999999999999	0.6699999999999999	0.64	0.6	0.73	0.62	0.61	0.6599999999999999	0.6799999999999999	0.69	0.64	0.64	0.71	0.6599999999999999	0.6599999999999999	0.62	0.5700000000000001	0.64	0.6799999999999999	0.64
Bill Would End Mercury Use at Chlorine Plants	0.54	0.64	0.63	0.72	0.72	0.69	0.61	0.61	0.6699999999999999	0.63	0.63	0.72	0.6699999999999999	0.6699999999999999	0.77	0.72	0.6	0.0	0.75	0.69	0.65	0.6	0.5	0.71	0.5800000000000001	0.65	0.64	0.63	0.6	0.65	0.63	0.6799999999999999	0.6599999999999999	0.61	0.72	0.52	0.63	0.69	0.65	0.6	0.5800000000000001	0.43000000000000005	0.6	0.63	0.5800000000000001
Chemical Engineering Plant Cost Index	0.49	0.69	0.55	0.71	0.5700000000000001	0.73	0.65	0.64	0.73	0.55	0.6	0.71	0.55	0.5700000000000001	0.77	0.72	0.6	0.5700000000000001	0.75	0.6	0.6	0.5700000000000001	0.65	0.6699999999999999	0.69	0.6	0.73	0.6	0.6699999999999999	0.65	0.5700000000000001	0.6799999999999999	0.6599999999999999	0.65	0.65	0.63	0.6	0.71	0.6	0.6	0.55	0.63	0.6	0.5700000000000001	0.6
Chlorine Gas from South Carolina Train Crash Kills Nine	0.6	0.64	0.52	0.71	0.6599999999999999	0.69	0.65	0.5800000000000001	0.6599999999999999	0.62	0.5900000000000001	0.71	0.64	0.6599999999999999	0.65	0.65	0.5900000000000001	0.5900000000000001	0.75	0.5700000000000001	0.62	0.64	0.6	0.5900000000000001	0.64	0.6599999999999999	0.6699999999999999	0.5900000000000001	0.6699999999999999	0.71	0.62	0.5800000000000001	0.63	0.5800000000000001	0.6599999999999999	0.6	0.6	0.7	0.6	0.62	0.62	0.55	0.64	0.6599999999999999	0.6799999999999999
MarketsNews Release	0.64	0.69	0.69	0.69	0.74	0.74	0.69	0.79	0.64	0.69	0.48	0.69	0.64	0.64	0.77	0.79	0.43000000000000005	0.64	0.63	0.69	0.37	0.5800000000000001	0.79	0.85	0.74	0.5800000000000001	0.74	0.64	0.8	0.64	0.69	0.64	0.69	0.74	0.69	0.69	0.64	0.69	0.53	0.69	0.64	0.64	0.64	0.69	0.69
Port Edwards selss School Forest Land to ERCO Worldwide Nekoosa Considers Similar Deal	0.62	0.6	0.6599999999999999	0.71	0.73	0.69	0.65	0.6699999999999999	0.62	0.65	0.61	0.73	0.64	0.6699999999999999	0.71	0.65	0.64	0.64	0.75	0.69	0.6699999999999999	0.6599999999999999	0.61	0.6699999999999999	0.64	0.6699999999999999	0.64	0.63	0.54	0.69	0.6699999999999999	0.61	0.69	0.65	0.7	0.61	0.61	0.7	0.6599999999999999	0.6699999999999999	0.62	0.63	0.63	0.7	0.7
Portrait of a Polluter	0.5	0.78	0.6	0.55	0.64	0.64	0.73	0.64	0.64	0.64	0.55	0.69	0.6	0.64	0.71	0.65	0.6	0.64	0.88	0.64	0.6	0.69	0.69	0.6799999999999999	0.69	0.64	0.6	0.5	0.8	0.69	0.55	0.55	0.64	0.73	0.69	0.41000000000000003	0.55	0.64	0.55	0.55	0.6	0.55	0.64	0.64	0.64
Project Summary Waste Minimization and Audit Report Case Studies of Minimization of Mercury Bearing Wastes at a Mercury Cell Chloralkali Plant	0.61	0.6	0.62	0.6799999999999999	0.6699999999999999	0.69	0.61	0.52	0.7	0.62	0.64	0.73	0.64	0.6799999999999999	0.65	0.65	0.6	0.6799999999999999	0.75	0.6599999999999999	0.6799999999999999	0.5800000000000001	0.5800000000000001	0.5900000000000001	0.5800000000000001	0.63	0.64	0.61	0.6699999999999999	0.72	0.61	0.5800000000000001	0.63	0.5800000000000001	0.6799999999999999	0.62	0.6	0.63	0.5900000000000001	0.65	0.5800000000000001	0.51	0.62	0.65	0.69
Report Cites PPG Savings on Mercury Process Could Boost Efficiency Phase Out Toxic Discharge at Marshall Plant	0.61	0.6	0.6599999999999999	0.71	0.6699999999999999	0.5900000000000001	0.65	0.6699999999999999	0.69	0.64	0.61	0.74	0.6599999999999999	0.69	0.71	0.65	0.63	0.63	0.5	0.7	0.6699999999999999	0.6	0.65	0.63	0.64	0.65	0.6699999999999999	0.65	0.6699999999999999	0.7	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.65	0.6799999999999999	0.64	0.64	0.65	0.6599999999999999	0.63	0.63	0.6	0.63	0.7	0.6799999999999999
Special Focus on Chlorine	0.4	0.78	0.64	0.72	0.64	0.72	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.56	0.64	0.64	0.6	0.6	0.65	0.65	0.56	0.43999999999999995	0.75	0.6	0.6799999999999999	0.56	0.0	0.71	0.74	0.6799999999999999	0.6	0.6	0.6	0.6799999999999999	0.56	0.64	0.6	0.6	0.6	0.6	0.56	0.6	0.6	0.64	0.6	0.43999999999999995	0.56	0.6	0.6
